SMILES,Title,Rationale1,Rationale2,Core1,Core2,SA,QED,Weight,LogP,RotBond,Filtered,docking_pred1,docking_pred2,total_score,6Y9S_SP,4WHZ_SP,TPSA,HBA,HBD,3D_best_gsk3b,3D_sim_gsk3b,3D_best_jnk3,3D_sim_jnk3,3D_sim_2D_gsk3b,3D_sim_2D_jnk3
O=C1NC(=O)C(c2ccc3c(c2)OCO3)=C1c1ccnc(Nc2ccccc2F)c1,AIxFuse|_C31_A0S3_R0|_C7_A3S0_R7,O=C1C=C(c2ccc3c(c2)OCO3)C(=O)N1,Fc1ccccc1Nc1ccccn1,c1ccc2c(c1)OCO2,Nc1ccccn1,2.5233000274331516,0.6503236792488796,403.369,3.260200000000001,4,True,10.02719783782959,12.058764457702637,435.7860741466991,-9.95622829520646,-12.029294224628,89.55000000000001,6,2,CHEMBL4641082,0.677390180878553,CHEMBL1644624,0.831500824628917,0.2,0.28378378378378377
O=C1NC(=O)C(c2ccc3c(c2)OCO3)=C1c1ccnc(Nc2ccc(F)cc2)c1,AIxFuse|_C31_A0S3_R0|_C7_A3S0_R4,O=C1C=C(c2ccc3c(c2)OCO3)C(=O)N1,Fc1ccc(Nc2ccccn2)cc1,c1ccc2c(c1)OCO2,Nc1ccccn1,2.4871138205365995,0.6503236792488796,403.369,3.260200000000001,4,True,10.03484058380127,11.93369197845459,430.94702171600335,-9.97548404515332,-11.5174264993992,89.55000000000001,6,2,CHEMBL4641082,0.6703155183515777,CHEMBL1644624,0.8313022045734629,0.16470588235294117,0.3142857142857143
Cc1c(C2=C(c3ccnc(Nc4ccc(F)cc4)c3)C(=O)NC2=O)ccc2c1OCO2,AIxFuse|_C31_A0S3_R5|_C7_A3S0_R4,Cc1c(C2=CC(=O)NC2=O)ccc2c1OCO2,Fc1ccc(Nc2ccccn2)cc1,c1ccc2c(c1)OCO2,Nc1ccccn1,2.682328768425215,0.6312128428474385,417.3960000000002,3.568620000000001,4,True,9.755888938903809,12.064533233642578,385.0806447810718,-10.0557635641851,-12.0155949201002,89.55000000000001,6,2,CHEMBL4065956,0.6363190184049079,CHEMBL1644618,0.78828125,0.12631578947368421,0.2235294117647059
Cc1ccccc1Nc1cc(C2=C(c3ccc4c(c3)OCO4)C(=O)NC2=O)ccn1,AIxFuse|_C31_A0S3_R0|_C7_A3S0_R8,O=C1C=C(c2ccc3c(c2)OCO3)C(=O)N1,Cc1ccccc1Nc1ccccn1,c1ccc2c(c1)OCO2,Nc1ccccn1,2.4983260221281114,0.6536568504037755,399.4060000000002,3.429520000000001,4,True,9.93980884552002,12.00096607208252,425.56786582421233,-9.92407646315463,-12.2660094097801,89.55,6,2,CHEMBL3398197,0.6582038651004168,CHEMBL1644624,0.8063517696137801,0.20987654320987653,0.3013698630136986
OCCC(=O)Nc1cc(C2=C(c3ccc4c(c3)OCO4)C(=O)NC2=O)ccn1,AIxFuse|_C31_A0S3_R0|_C7_A3S0_R17,O=C1C=C(c2ccc3c(c2)OCO3)C(=O)N1,OCCC(=O)Nc1ccccn1,c1ccc2c(c1)OCO2,Nc1ccccn1,2.6353935062011242,0.6507464969119555,381.34400000000005,0.6983999999999996,5,True,10.253210067749023,11.6587553024292,413.6699465007354,-9.97719678529988,-11.7242168910736,126.85000000000001,7,3,CHEMBL158526,0.6957738595018192,CHEMBL1644620,0.733909574468085,0.2,0.23170731707317074
COC1CCC(C(=O)Nc2cc(C3=C(c4ccc5c(c4)OCO5)C(=O)NC3=O)ccn2)CC1,AIxFuse|_C31_A0S3_R0|_C7_A3S0_R9,O=C1C=C(c2ccc3c(c2)OCO3)C(=O)N1,COC1CCC(C(=O)Nc2ccccn2)CC1,c1ccc2c(c1)OCO2,Nc1ccccn1,2.7404012073414403,0.6740841324762041,449.46300000000025,2.5212000000000003,5,True,9.810757637023926,11.528037071228027,348.80240607765404,-9.59223376218474,-11.2665768096111,115.85000000000001,7,2,CHEMBL513354,0.6180155773789366,CHEMBL203009,0.766030989272944,0.13829787234042554,0.546875
O=C1NC(=O)C(c2ccc3c(c2)OCO3)=C1c1ccnc(Nc2ccccc2)c1,AIxFuse|_C31_A0S3_R0|_C7_A3S0_R1,O=C1C=C(c2ccc3c(c2)OCO3)C(=O)N1,c1ccc(Nc2ccccn2)cc1,c1ccc2c(c1)OCO2,Nc1ccccn1,2.4338792201637602,0.6710328486846405,385.379,3.121100000000001,4,True,9.887059211730955,11.860980033874512,410.0755757479765,-9.78502316908503,-11.4917685676558,89.55000000000001,6,2,CHEMBL4065956,0.6652892561983471,CHEMBL1644624,0.8772655915513058,0.12643678160919541,0.4
O=C1NC(=O)C(c2ccc3c(c2)OCO3)=C1c1ccnc(NC2CCCC2)c1,AIxFuse|_C31_A0S3_R0|_C7_A3S0_R16,O=C1C=C(c2ccc3c(c2)OCO3)C(=O)N1,C1CCC(Nc2ccccn2)C1,c1ccc2c(c1)OCO2,Nc1ccccn1,2.586608482748968,0.7966836731075179,377.40000000000015,2.732,4,True,10.121787071228027,11.590190887451172,402.77480156251846,-10.0905494226321,-11.6737404675487,89.55000000000001,6,2,CHEMBL4635680,0.6746367239101717,CHEMBL1644620,0.8265234974201645,0.18604651162790697,0.3611111111111111
O=C1NC(=O)C(c2ccc3c(c2)OCO3)=C1c1ccnc(NC2CCCCC2)c1,AIxFuse|_C31_A0S3_R0|_C7_A3S0_R5,O=C1C=C(c2ccc3c(c2)OCO3)C(=O)N1,C1CCC(Nc2ccccn2)CC1,c1ccc2c(c1)OCO2,Nc1ccccn1,2.5912366862271075,0.7787119448949797,391.4270000000002,3.1221000000000014,4,True,10.096247673034668,11.603774070739744,400.61431115898966,-10.1214014170175,-11.8915051633987,89.55000000000001,6,2,CHEMBL351342,0.6358947229202486,CHEMBL1644619,0.8529003608104357,0.22388059701492538,0.3466666666666667
O=C1NC(=O)C(c2ccc3c(c2)OCO3)=C1c1ccnc(Nc2cccnc2)c1,AIxFuse|_C31_A0S3_R0|_C7_A3S0_R22,O=C1C=C(c2ccc3c(c2)OCO3)C(=O)N1,c1ccc(Nc2cccnc2)nc1,c1ccc2c(c1)OCO2,Nc1ccccn1,2.598428541430728,0.6643708203034437,386.367,2.5161000000000007,4,True,9.937732696533203,11.71342945098877,391.6765961307495,-10.0270197387501,-11.4299221363027,102.44000000000001,7,2,CHEMBL4641082,0.6857067301335449,CHEMBL1644626,0.8777506112469438,0.14606741573033707,0.42857142857142855
COc1ccccc1Nc1cc(C2=C(c3ccc4c(c3)OCO4)C(=O)NC2=O)ccn1,AIxFuse|_C31_A0S3_R0|_C7_A3S0_R21,O=C1C=C(c2ccc3c(c2)OCO3)C(=O)N1,COc1ccccc1Nc1ccccn1,c1ccc2c(c1)OCO2,Nc1ccccn1,2.5071206266793205,0.6179228704652115,415.40500000000014,3.1297000000000006,5,True,9.6487455368042,11.94693088531494,389.6520195302021,-9.81284252525686,-11.7673431247905,98.77999999999999,7,2,CHEMBL4802108,0.6437676254935139,CHEMBL1644618,0.7846871356393315,0.2087912087912088,0.24390243902439024
O=C1NC(=O)C(c2ccc3c(c2)OCO3)=C1c1ccnc(Nc2ccc(N3CCOCC3)cc2)c1,AIxFuse|_C31_A0S3_R0|_C7_A3S0_R0,O=C1C=C(c2ccc3c(c2)OCO3)C(=O)N1,C1CN(c2ccc(Nc3ccccn3)cc2)CCO1,c1ccc2c(c1)OCO2,Nc1ccccn1,2.64455528758395,0.5491570563465927,470.48500000000024,2.957700000000001,5,False,9.970074653625488,11.894021034240724,366.92785227314016,-9.63796149674709,-12.0142732104252,102.02000000000001,8,2,607829,0.6163318211276734,CHEMBL3099969,0.8390818128310771,0.12244897959183673,0.4722222222222222
CCOc1ccccc1Nc1cc(C2=C(c3ccc4c(c3C)OCO4)C(=O)NC2=O)ccn1,AIxFuse|_C31_A0S3_R5|_C7_A3S0_R10,Cc1c(C2=CC(=O)NC2=O)ccc2c1OCO2,CCOc1ccccc1Nc1ccccn1,c1ccc2c(c1)OCO2,Nc1ccccn1,2.7352314907422475,0.5588718266340488,443.45900000000023,3.8282200000000017,6,True,9.089844703674316,11.905746459960938,281.95671470569926,-9.45785851134338,-11.9693767779093,98.77999999999999,7,2,CHEMBL4082198,0.6052424344695692,CHEMBL1644624,0.7336996336996338,0.15,0.25882352941176473
O=C1NC(=O)C(c2ccc3c(c2)OCO3)=C1c1ccnc(Nc2ccccn2)c1,AIxFuse|_C31_A0S3_R0|_C7_A3S0_R43,O=C1C=C(c2ccc3c(c2)OCO3)C(=O)N1,c1ccc(Nc2ccccn2)nc1,c1ccc2c(c1)OCO2,Nc1ccccn1,2.5928786771773353,0.6643708203034437,386.367,2.5161000000000007,4,True,9.889925956726074,11.67061710357666,384.75658834135976,-9.63482360062312,-11.2060148651041,102.44000000000001,7,2,CHEMBL4082198,0.6617240512691631,CHEMBL1644625,0.7767359695610817,0.1511627906976744,0.4
O=C1NC(=O)C(c2ccc3c(c2)OCO3)=C1c1ccnc(Nc2ccc(N3CCOCC3)cc2F)c1,AIxFuse|_C31_A0S3_R0|_C7_A3S0_R18,O=C1C=C(c2ccc3c(c2)OCO3)C(=O)N1,Fc1cc(N2CCOCC2)ccc1Nc1ccccn1,c1ccc2c(c1)OCO2,Nc1ccccn1,2.7578687578149523,0.5286941537699887,488.47500000000025,3.096800000000001,5,True,10.191248893737791,12.30894947052002,383.3480388652528,-10.1646983170201,-12.0507606486636,102.02000000000001,8,2,50414711,0.5715682440359797,CHEMBL3099965,0.788196874271052,0.13333333333333333,0.42105263157894735
O=C1NC(=O)C(c2ccnc(Nc3ccc(N4CCOCC4)cc3)c2)=C1c1ccccc1,AIxFuse|_C0_A3S0_R26|_C7_A3S0_R0,O=C1C=C(c2ccccc2)C(=O)N1,C1CN(c2ccc(Nc3ccccn3)cc2)CCO1,O=C1C=CC(=O)N1,Nc1ccccn1,2.410867143377933,0.6098036668307503,426.47600000000017,3.229000000000001,5,False,9.89548397064209,11.782132148742676,405.4356558281052,-9.59379832290835,-11.6682972414729,83.56,6,2,CHEMBL1164526,0.6144085141219812,CHEMBL3099962,0.8997532787949617,0.3125,0.5737704918032787
