SMILES,Title,Rationale,5NTP_XP,6QU7_XP,Weight,LogP,SA,QED,TPSA,HBA,HBD,RotBond,Filtered,3D_best_rorgt,3D_sim_rorgt,3D_best_dhodh,3D_sim_dhodh,3D_sim_2D_rorgt,3D_sim_2D_dhodh,best_3d_sim_rorgt,best_2d_sim_rorgt,best_3d_2d_sim_rorgt,best_3d_match_rorgt,best_2d_match_rorgt,best_3d_2d_match_rorgt,best_3d_sim_dhodh,best_2d_sim_dhodh,best_3d_2d_sim_dhodh,best_3d_match_dhodh,best_2d_match_dhodh,best_3d_2d_match_dhodh
CCc1ccc(-c2ccc(-c3cc(C(N)=O)ccc3Cl)cc2)cc1,1,NC(=O)c1ccc(Cl)c(-c2ccc(-c3cc[cH:1]cc3)cc2)c1,-9.60129453870575,-9.23051103393288,335.83399999999995,5.335300000000004,1.7319171931302897,0.687107883614614,43.09,1,1,4,True,,,,,,,0.54488427428077,0.4827586206896552,0.2104623903427353,CHEMBL3596636,50387987,50388317,0.6539038016078484,0.3157894736842105,0.15887544949329843,297744,50971945,50971945
NC(=O)c1ccc(Cl)c(-c2ccc(-c3ccc(CNC(=O)c4ccc(C(=O)O)cc4)cc3)cc2)c1,2,NC(=O)c1ccc(Cl)c(-c2ccc(-c3cc[cH:1]cc3)cc2)c1,-11.326719638612,-12.3085510115677,484.93900000000014,5.401100000000003,2.009583992859257,0.32590198296798467,109.49,3,3,7,True,,,,,,,0.5727056585829766,0.38235294117647056,0.1787371134020619,1137253,50387987,50396847,0.5069085440360936,0.3125,0.1288377192982456,51406345,50251713,50251713
NC(=O)c1ccc(Cl)c(-c2ccc(-c3ccc(-c4ccc(N)cc4)cc3)cc2)c1,3,NC(=O)c1ccc(Cl)c(-c2ccc(-c3cc[cH:1]cc3)cc2)c1,-7.50818203736137,-10.4809959106666,398.8930000000001,6.0221000000000044,1.896050092976278,0.41232564448072584,69.11,2,2,4,True,,,,,,,0.5223111500931915,0.42105263157894735,0.15536497045931008,CHEMBL3924809,50387983,50388258,0.6328273244781784,0.2692307692307692,0.15146988527724664,50358203,51338185,1100159
NC(=O)c1ccc(Cl)c(-c2ccc(-c3ccc(-c4ccccc4)cc3)cc2)c1,4,NC(=O)c1ccc(Cl)c(-c2ccc(-c3cc[cH:1]cc3)cc2)c1,-8.41549637316539,-10.4592498547409,383.87800000000004,6.439900000000004,1.7451631002182175,0.43256701389836394,43.09,1,1,4,True,,,,,,,0.5678969759687249,0.44642857142857145,0.16462762261472028,CHEMBL3924809,50387983,50388192,0.6404167676278167,0.34,0.19240049443757726,50358203,297764,297764
NC(=O)c1ccc(Cl)c(-c2ccc(-c3ccc(C(=O)O)cc3)cc2)c1,5,NC(=O)c1ccc(Cl)c(-c2ccc(-c3cc[cH:1]cc3)cc2)c1,-10.6941089892999,-8.7583487733549,351.78900000000004,4.4711000000000025,1.7588995878249936,0.7272062623210552,80.39,2,2,4,True,,,,,,,0.542528735632184,0.4482758620689655,0.22251542274364372,50388321,50388192,50387987,0.6357936734112283,0.3090909090909091,0.1821353055238875,50319887,50251713,50251718
CC(=O)c1ccc(-c2ccc(-c3cc(C(N)=O)ccc3Cl)cc2)cc1,6,NC(=O)c1ccc(Cl)c(-c2ccc(-c3cc[cH:1]cc3)cc2)c1,-9.95897733920478,-10.6369314598565,349.817,4.975500000000003,1.773968159253565,0.6753878377230426,60.160000000000004,2,1,4,True,,,,,,,0.5826178995648594,0.44642857142857145,0.25112840498485317,50387990,50387983,50387990,0.6442627140301559,0.3018867924528302,0.1728865954866478,50990485,CHEMBL484531,1100159
NC(=O)c1ccc(Cl)c(-c2ccc(-c3ccc(C(=O)O)cc3)cc2)c1,7,NC(=O)c1ccc(Cl)c(-c2ccc(-c3cc[cH:1]cc3)cc2)c1,-10.6941089892999,-8.7583487733549,351.78900000000004,4.4711000000000025,1.7588995878249936,0.7272062623210552,80.39,2,2,4,True,,,,,,,0.542528735632184,0.4482758620689655,0.22251542274364372,50388321,50388192,50387987,0.6357936734112283,0.3090909090909091,0.1821353055238875,50319887,50251713,50251718
NC(=O)c1ccc(Cl)c(-c2ccc(-c3ccc(-c4ccc(O)cc4)cc3)cc2)c1,8,NC(=O)c1ccc(Cl)c(-c2ccc(-c3cc[cH:1]cc3)cc2)c1,-8.19397148445866,-10.499305333486,399.87700000000007,6.145500000000005,1.87732108463522,0.43220047637001974,63.32000000000001,2,2,4,True,,,,,,,0.5599593495934959,0.43859649122807015,0.15350281389481857,CHEMBL3924809,50387987,50388192,0.6351206753061467,0.2916666666666667,0.15858552743140736,50358203,50841896,297819
NC(=O)c1ccc(Cl)c(-c2ccc(-c3ccc(-c4cccc(C(=O)O)c4)cc3)cc2)c1,9,NC(=O)c1ccc(Cl)c(-c2ccc(-c3cc[cH:1]cc3)cc2)c1,-8.04679748773246,-11.0041000885634,427.8870000000001,6.138100000000004,1.9318472350709293,0.4011807398068032,80.39,2,2,5,True,,,,,,,0.48037716615698267,0.45161290322580644,0.17556798269005136,544136,50387874,50388192,0.5729065632072421,0.328125,0.1592992881047563,297850,220001,50251709
NC(=O)c1ccc(Cl)c(-c2ccc(-c3ccc(C(=O)O)cc3)cc2)c1,10,NC(=O)c1ccc(Cl)c(-c2ccc(-c3cc[cH:1]cc3)cc2)c1,-10.6941089892999,-8.7583487733549,351.78900000000004,4.4711000000000025,1.7588995878249936,0.7272062623210552,80.39,2,2,4,True,,,,,,,0.542528735632184,0.4482758620689655,0.22251542274364372,50388321,50388192,50387987,0.6357936734112283,0.3090909090909091,0.1821353055238875,50319887,50251713,50251718
